symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason
IVV,2022-01-06,2022-01-12,469.95001220703125,473.7300109863281,8,30.239990234375,0.008043406066838621,signal
IVV,2023-02-21,2023-02-27,404.9200134277344,401.739990234375,9,-28.620208740234375,-0.007853460159797487,max_hold
QQQ,2023-02-22,2023-02-28,294.6199951171875,293.29998779296875,13,-17.16009521484375,-0.004480372500494045,max_hold
QQQ,2023-04-13,2023-04-14,314.8299865722656,317.5899963378906,12,33.1201171875,0.00876666735489473,signal
IVV,2023-04-21,2023-04-27,413.989990234375,408.75,9,-47.159912109375,-0.012657287272594298,max_hold
QQQ,2023-04-21,2023-04-27,315.9100036621094,315.70001220703125,12,-2.5198974609375,-0.000664719232198574,max_hold
IVV,2023-04-27,2023-04-28,408.75,413.2699890136719,9,40.679901123046875,0.011058077097668262,signal
IVV,2023-05-04,2023-05-08,408.6499938964844,414.7799987792969,9,55.1700439453125,0.015000623943151936,signal
QQQ,2023-05-05,2023-05-08,318.4700012207031,322.4200134277344,12,47.400146484375,0.012403090375516568,signal
IVV,2023-05-25,2023-05-30,416.55999755859375,423.9100036621094,9,66.15005493164062,0.01764453175195202,signal
QQQ,2023-06-08,2023-06-09,349.1199951171875,354.6300048828125,11,60.610107421875,0.015782567147938575,signal
QQQ,2023-06-22,2023-06-23,360.6300048828125,362.2099914550781,11,17.379852294921875,0.004381184457402654,signal
IVV,2023-06-27,2023-06-28,434.6400146484375,437.3500061035156,9,24.389923095703125,0.0062350252248866145,signal
QQQ,2023-06-27,2023-06-28,359.25,361.9800109863281,11,30.030120849609375,0.007599195508220191,signal
IVV,2023-07-10,2023-07-12,440.4800109863281,448.80999755859375,9,74.96987915039062,0.01891115683913336,signal
QQQ,2023-07-21,2023-07-26,379.17999267578125,377.7200012207031,10,-14.59991455078125,-0.003850391590482727,signal
IVV,2023-08-03,2023-08-08,450.4200134277344,450.42999267578125,8,0.079833984375,2.2155427710446318e-05,signal
QQQ,2023-08-03,2023-08-08,371.94000244140625,372.6400146484375,10,7.0001220703125,0.0018820567899027196,signal
IVV,2024-01-03,2024-01-09,472.6600036621094,474.17999267578125,8,12.159912109375,0.0032158189859416986,signal
QQQ,2024-01-03,2024-01-09,399.92999267578125,401.9100036621094,10,19.80010986328125,0.00495089396291748,signal
IVV,2024-01-18,2024-01-19,476.2200012207031,479.92999267578125,8,29.679931640625,0.007790499024753705,signal
IVV,2024-02-01,2024-02-02,486.9200134277344,492.0199890136719,8,40.7998046875,0.010473949407081351,signal
QQQ,2024-02-01,2024-02-05,418.7900085449219,429.07000732421875,9,92.51998901367188,0.024546905536296126,signal
IVV,2024-02-14,2024-02-16,499.2300109863281,504.1400146484375,8,39.280029296875,0.009835153244110328,signal
