,base,slippage,delta
total_return,0.14010921228027362,0.08387721588571728,-0.05623199639455634
max_drawdown,-0.02541579838375929,-0.03639326076792049,-0.010977462384161196
win_rate,0.7910447761194029,0.746268656716418,-0.04477611940298498
average_trade_return,0.005494439741113605,0.003251035221568235,-0.00224340451954537
average_win,0.010441053283865997,0.008982180574806087,-0.0014588727090599097
average_loss,-0.013232025813591881,-0.013605274640896036,-0.00037324882730415537
number_of_trades,67.0,67.0,0.0
