,value
total_return,0.08387721588571728
max_drawdown,-0.03639326076792049
win_rate,0.746268656716418
average_trade_return,0.003251035221568235
average_win,0.008982180574806087
average_loss,-0.013605274640896036
number_of_trades,67.0
