,value
total_return,0.14010921228027362
max_drawdown,-0.02541579838375929
win_rate,0.7910447761194029
average_trade_return,0.005494439741113605
average_win,0.010441053283865997
average_loss,-0.013232025813591881
number_of_trades,67.0
