symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason
IVV,2022-01-06,2022-01-12,470.41996221923824,473.2562809753418,8,22.6905500488283,0.006029333327444375,signal
IVV,2023-02-21,2023-02-27,405.32493344116205,401.3382502441406,9,-35.880148773192786,-0.009835770928708798,max_hold
QQQ,2023-02-22,2023-02-28,294.91461511230466,293.0066878051758,13,-24.803054992675527,-0.006469422705288275,max_hold
QQQ,2023-04-13,2023-04-14,315.1448165588379,317.2724063415527,12,25.531077392578027,0.006751149538001711,signal
IVV,2023-04-21,2023-04-27,414.4039802246093,408.34125,9,-54.5645720214838,-0.014629999985336206,max_hold
QQQ,2023-04-21,2023-04-27,316.22591366577143,315.3843121948242,12,-10.099217651366871,-0.002661393119846478,max_hold
IVV,2023-04-27,2023-04-28,409.15874999999994,412.8567190246582,9,33.2817212219245,0.009037981039531129,signal
IVV,2023-05-04,2023-05-08,409.05864389038084,414.3652187805176,9,47.7591740112307,0.012972650668540364,signal
QQQ,2023-05-05,2023-05-08,318.78847122192377,322.09759341430663,12,39.7094663085943,0.010380306978162945,signal
IVV,2023-05-25,2023-05-30,416.9765575561523,423.48609365844726,9,58.585824920654886,0.015611275944255931,signal
QQQ,2023-06-08,2023-06-09,349.4691151123046,354.27537487792966,11,52.868857421875475,0.013753031549241568,signal
QQQ,2023-06-22,2023-06-23,360.99063488769525,361.84778146362305,11,9.428612335205798,0.0023744288441014394,signal
IVV,2023-06-27,2023-06-28,435.0746546630859,436.9126560974121,9,16.542012908935817,0.004224565634027844,signal
QQQ,2023-06-27,2023-06-28,359.60925,361.6180309753418,11,22.09659072876019,0.005586010302409683,signal
IVV,2023-07-10,2023-07-12,440.9204909973144,448.36118756103514,9,66.96626907348661,0.016875370311982385,signal
QQQ,2023-07-21,2023-07-26,379.559172668457,377.3422812194824,10,-22.16891448974593,-0.005840700498393803,signal
IVV,2023-08-03,2023-08-08,450.87043344116205,449.9795626831055,8,-7.1269660644525175,-0.001975890836880101,signal
QQQ,2023-08-03,2023-08-08,372.3119424438476,372.2673746337891,10,-0.4456781005853827,-0.00011970556132578913,signal
IVV,2024-01-03,2024-01-09,473.1326636657714,473.7058126831055,8,4.5851921386724825,0.0012113917751808145,signal
QQQ,2024-01-03,2024-01-09,400.32992266845696,401.50809365844725,9,10.60353890991263,0.002943000068885704,signal
IVV,2024-01-18,2024-01-19,476.6962212219238,479.45006268310544,8,22.030731689453205,0.005776931594134949,signal
IVV,2024-02-01,2024-02-02,487.40693344116204,491.5279690246582,8,32.96828466796933,0.008455020437237337,signal
QQQ,2024-02-01,2024-02-05,419.20879855346675,428.6409373168945,9,84.88924887084983,0.022499858771988013,signal
IVV,2024-02-14,2024-02-16,499.7292409973144,503.63587463378906,8,31.253069091797443,0.007817500590276083,signal
QQQ,2024-02-21,2024-02-23,424.9745377807617,439.2103439025879,9,128.12225509643594,0.03349802130773827,signal
IVV,2024-03-18,2024-03-19,518.6781331176758,515.7836878051758,7,-20.261117187500076,-0.005580426718786224,signal
QQQ,2024-03-18,2024-03-20,439.1687409973144,439.3402187805176,9,1.5433000488289395,0.0003904599011619325,signal
IVV,2024-04-03,2024-04-08,520.7802697753906,521.1883119506836,7,2.8562952270507367,0.0007835208032533902,signal
IVV,2024-05-24,2024-05-28,531.0204802246093,532.4070624389649,7,9.706075500489192,0.002611165229953194,signal
